"Mayer, Robert",MALE
"Rong, Ma",FEMALE
"Lhundup, Tanzen",MALE
"Yeh, Emily T.",FEMALE
"Henderson, Mark",MALE
"Lugli, Ligeia",FEMALE?
"Cowherds, The","Group (including Dreyfus, Garfield, Newland, Priest, Siderits, Tanaka, Thakchoe, Tillemans, and Westerhoff: https://www.cambridge.org/core/journals/bulletin-of-the-school-of-oriental-and-african-studies/article/cowherds-moonshadows-conventional-truth-in-buddhist-philosophy-new-york-oxford-university-press-2011-2250-isbn-978-0-19-975143-3/BFC107357311DC39C772D9ADFF3C8266/core-reader"
"Abé, Ryūichi",MALE
"Abeysekara, Ananda",MALE
"Acharya, Diwakar",MALE
"Adam, Martin Theodor",MALE
"Adam, Martin T (Martin Theodor)",MALE
"Adams, Don",MALE
"Agostini, Giulio",MALE
"Ahn, Juhn Y",MALE
"Ahn, Juhn Young",MALE
"Albuquerque, Eduardo Basto de",MALE
"Alekseev, Kirill",MALE
"Alexander Hastings Molloy, Andrew",MALE
"Allon, Mark",MALE
"Alvear Moroí�n, David",MALE
"Ama, Michihiro",MALE
"Ama, Michihiro (Translator)",MALE
"Ama, Toshimaro",MALE
"Amaro Ajahn, Bhikkhu",MALE
"Ames, William L",MALE
"Amstutz, Galen Dean",MALE
"Amstutz, Galen (Galen Dean)",MALE
"Amstutz, Galen (Galen Dean), 1952- (Translator)",MALE
An€�layo Bhikkhu,MALE
"Andreasen, Esben",MALE
"Andrews, Allan Albert",MALE
"Andrews, Allan A. (Allan Albert)",MALE
"App, Urs, 1949- (Translator, ""Author of introduction, etc. "")",MALE
"Apple, James",MALE
"Apple, James B",MALE
"Apple, James B.",MALE
"Apple, James B.",MALE
"Aramaki, Noritoshi",MALE
"Arènes, Pierre",MALE
"Arlt, Robert",MALE
"Arnold, Dan",MALE
"Arnold, Daniel Anderson",MALE
"Arnold, Daniel Anderson, 1965- (""Author of introduction, etc. "", Commentator for written text, Translator)",MALE
"Arreí�bola Gil, Antonio",MALE
"Asai, Endō",MALE
"Ashin, Janaka",MALE
"Attwood, Jayarava‰ŰŹ",MALE
"Auerback, Micah L.",MALE
"Auerback, Micah L, 1974- (Translator)",MALE
"Austin, James H",MALE
"Bacham, Arthur L",MALE
"Badmatsyrenov, Timur",MALE
"Bailey, Cameron",MALE
"Bailey, Harold Walter",MALE
